,,,,,,,,,
Asset Name/Title,Habitat Card Asset Resides On,File Name,GUID from Habitat,Subject,PAF Assignment ID,PAF Activity ID,PAF Container ID,Base URL,Preview URL
Technology and choices that may DECREASE future impacts of transportation,What is the future of transportation?,68830_EU_08_02b.html,ee6a05af481c4308a6a022945db2034e,EnvironmentalScience,b74926a8-3534-4000-adca-fc70220535e0,09b9ef3a-d872-41ff-b102-57da74e5c0f1,bee6a05af481c4308a6a022945db2034e,,
Technology and choices that may INCREASE future impacts of heating cooling and cooking,"What is the future of cooking, heating, and cooling?",68830_EU_08_03a.html,36f44bf63e2e4f808c91cdc6bebc6be0,EnvironmentalScience,04FC773C-4569-43A9-8DF4-4A8F3DBE2585,65741b86-eaf5-442b-8c6f-24838f139b44,b36f44bf63e2e4f808c91cdc6bebc6be0,,
"Technology and choices that may DECREASE future impacts of heating, cooling, and cooking","What is the future of cooking, heating, and cooling?",68830_EU_08_03b.html,fad77c77be1a4c95bf63f5110d48553c,EnvironmentalScience,04FC773C-4569-43A9-8DF4-4A8F3DBE2585,edecf39f-0570-4647-aa98-8b53a5b06a7b,bfad77c77be1a4c95bf63f5110d48553c,,
Technology and choices that may INCREASE future impacts of electricity use ,What is the future of electricity?,68830_EU_08_04a.html,b40808a6d81644879605f51653ae707a,EnvironmentalScience,24FF9809-A53E-45CE-9C54-C78BE40EE302,c78a5fc9-a27d-4834-91d9-b57bd9e62b07,bb40808a6d81644879605f51653ae707a,,
Technology and choices that may DECREASE future impacts of electricity use,What is the future of electricity?,68830_EU_08_04b.html,46d6d3bc3a9f492db86fcf3af161fa67,EnvironmentalScience,24FF9809-A53E-45CE-9C54-C78BE40EE302,a199a3d1-6b29-49e0-b96b-e476b54f4430,b46d6d3bc3a9f492db86fcf3af161fa67,,
Fossil fuels were formed over millions of years ,How are fossil fuels formed?,68830_NE_01_01.html,0ebb75eb0f784ad68d4b5d5c84d23823,EnvironmentalScience,5568779b-b370-4559-8550-86272c04ede2,8ab96b9c-59e4-4854-8418-2b5c85b2ba32,b0ebb75eb0f784ad68d4b5d5c84d23823,,
Some impacts of OIL PRODUCTION,What are the environmental impacts of oil production and consumption?,68830_NE_02_03a.html,56a9d63b98134f34802faf136e894f37,EnvironmentalScience,29858221-FEE4-492A-9E49-FB75D2C365D6,e54cb848-df77-424e-9cfd-03d151a84bdf,b56a9d63b98134f34802faf136e894f37,,
Some impacts of OIL CONSUMPTION,What are the environmental impacts of oil production and consumption?,68830_NE_02_03b.html,69c6d2644c36461a99b1cea9b9a8ce86,EnvironmentalScience,29858221-FEE4-492A-9E49-FB75D2C365D6,e0fb6e1b-7270-4ded-8385-946f034cf6a1,b69c6d2644c36461a99b1cea9b9a8ce86,,
Some impacts of COAL PRODUCTION,What are the environmental impacts of coal production and consumption?,68830_NE_03_03a.html,ce9b815e3ea144c490c9bb356c00b200,EnvironmentalScience,0065E528-9484-4A02-9864-9011DFD682ED,68952e34-3c1a-460c-b95b-ca5ecf3c085d,bce9b815e3ea144c490c9bb356c00b200,,
Some impacts of COAL CONSUMPTION,What are the environmental impacts of coal production and consumption?,68830_NE_03_03b.html,f08472bc77b74c5aaebb019df3b00edc,EnvironmentalScience,0065E528-9484-4A02-9864-9011DFD682ED,a798306d-5523-4936-a484-e8a424b811db,bf08472bc77b74c5aaebb019df3b00edc,,
Some impacts of NATURAL GAS PRODUCTION,What are the environmental impacts of natural gas production and consumption?,68830_NE_04_03a.html,5cadd3cae73f45fab8e87d6781fef92b,EnvironmentalScience,5D6AFE90-B3FC-4EB9-9EBA-7ADE83D2846E,842d238f-d18e-41a3-9b71-87f5f86a2af4,b5cadd3cae73f45fab8e87d6781fef92b,,
Some impacts of NATURAL GAS CONSUMPTION,What are the environmental impacts of natural gas production and consumption?,68830_NE_04_03b.html,563c037d02f04dce91f706630ec5807b,EnvironmentalScience,5D6AFE90-B3FC-4EB9-9EBA-7ADE83D2846E,d7a8b975-e5d9-4ec0-ae6d-b1ff2d72a424,b563c037d02f04dce91f706630ec5807b,,
A nuclear fission reaction,Where does nuclear energy come from?,68830_NE_06_01.html,c9021b5ced0e4bd885033c83d593a570,EnvironmentalScience,a696e79e-ca1a-4345-8347-64f698af6910,40997503-7c3a-430e-8e04-aba070e0bc60,bc9021b5ced0e4bd885033c83d593a570,,
How nuclear fuel is made from uranium,How do we get nuclear fuel?,68830_NE_06_03.html,f285e55b9e444c07bcdf4ac79729bb7f,EnvironmentalScience,27de9ff9-ef1c-487d-ba7b-79d606732c61,f479b646-b474-482f-b8ca-a316c1855522,bf285e55b9e444c07bcdf4ac79729bb7f,,
How a nuclear reactor works,How do nuclear reactors work?,68830_NE_06_04.html,4d9212f463a644dd8261b1b414b6c95a,EnvironmentalScience,797f03c1-0006-4197-99b2-b0beb3f450f6,d2f498c7-6697-4b71-a72f-03df91e5af69,b4d9212f463a644dd8261b1b414b6c95a,,
Some impacts of NUCLEAR ENERGY PRODUCTION,What are the environmental impacts of nuclear energy?,68830_NE_06_05.html,5dbc93dc44074b47b6f549c99c5c7be3,EnvironmentalScience,258f9f83-3c69-4a2b-b21e-878fb452d796,61b1b4d4-f26f-4bae-a7bf-ac303424c629,b5dbc93dc44074b47b6f549c99c5c7be3,,
Hydropower dam,How and why do we use water to generate electricity?,68830_RE_01_01.html,db25361c090a46c382a06ab5248940a3,EnvironmentalScience,d3b774f9-bbba-4618-a02b-2ff12301666b,303cb8df-6d18-4c96-8dfb-3631da047b58,bdb25361c090a46c382a06ab5248940a3,,
Changing landscape surrounding the Three Gorges Dam,What are the environmental impacts and practical limitations of hydropower?,68830_RE_01_02.html,265edf28834c4b788a576291a315b742,EnvironmentalScience,e9c994bf-74b9-4183-b356-fe731cdd68e9,5177d3f6-eb34-49aa-9eab-896ca54f97d1,b265edf28834c4b788a576291a315b742,,
Tidal energy generation facility (one design),What is the future of hydropower?,68830_RE_01_03b.html,07983a77a6264c39a4d792477ba4b477,EnvironmentalScience,5971783a-26d0-4c91-b5e7-f359f7dd3ca2,2f7edf1a-c16a-4f39-9e8c-2c63dc9c9271,b07983a77a6264c39a4d792477ba4b477,,
Some elements of passive solar design,How do we use solar energy to heat and cook?,68830_RE_02_02a.html,d7906e022b064115ba409446812c767f,EnvironmentalScience,0a33727a-0eaf-4f26-9357-fa513d820ebb,b1e6392b-bdbd-4d8d-9ce7-8244735382f6,bd7906e022b064115ba409446812c767f,,
Environmental impacts and practical limitations of solar energy production,What are the environmental impacts and practical limitations of solar energy?,68830_RE_02_03.html,42d4bbc879d64c9caf9c59fef150856b,EnvironmentalScience,7c260b55-6a84-4953-a21f-54b047d9aad5,648d3f0f-992f-40d1-adcb-6cd6d4bd3401,b42d4bbc879d64c9caf9c59fef150856b,,
How a wind turbine works,How do we use wind to generate electricity?,68830_RE_03_01.html,496f5b03e67245c999e1e63f05aacbd2,EnvironmentalScience,655b0f19-cda1-4f6e-b85c-7c1bc61a8551,e1a8838a-f0dd-4aa2-abfe-157249e71782,b496f5b03e67245c999e1e63f05aacbd2,,
Environmental impacts and practical limitations of wind energy production,What are the environmental impacts and practical limitations of wind energy?,68830_RE_03_02.html,2a6e77ff592942909b0e9cd2141dc4a3,EnvironmentalScience,bff1ca23-9a79-4318-ab22-fefc8029b365,983b118f-91aa-4d8e-bdce-60f5d5fb1441,b2a6e77ff592942909b0e9cd2141dc4a3,,
Use of biomass fuel,"How do we get fuels from plants, algae, and animals?",68830_RE_04_01.html,6788757e24a3415daa76aa02d1d52a99,EnvironmentalScience,7c2a8227-877e-4afb-ab27-9ee809a9fe1c,b9494746-85fe-478b-90c8-744c8ae85ab7,b6788757e24a3415daa76aa02d1d52a99,,
Environmental impacts and practical limitations of biomass fuel production,What are the environmental impacts and practical limitations of biomass fuels?,68830_RE_04_02.html,241a1bc50d6d430592d1fd5f6aa40b1e,EnvironmentalScience,57752122-08b9-43c1-a6b2-fc6e80ab29c5,e76997a3-a41d-4092-bb17-59e91d49fef4,b241a1bc50d6d430592d1fd5f6aa40b1e,,
Second-generation biomass fuels,What is the future of biomass fuels?,68830_RE_04_03.html,c48a0159a5a5487e8a54fc1409bc3d7e,EnvironmentalScience,07c648d6-c3ac-413d-a9c7-e274d5681d90,c1f4f702-277b-4e4a-87a7-dcc5eb657ff8,bc48a0159a5a5487e8a54fc1409bc3d7e,,
Geothermal heat pumps,How can geothermal heat pumps be used to heat and cool buildings?,68830_RE_05_01.html,d630aef97cb74801ae448fdf7528d523,EnvironmentalScience,ba9c90ba-143a-49de-8f19-bc95cf47838c,8517ec85-34b7-4244-ad40-2aa12cf9cfb8,bd630aef97cb74801ae448fdf7528d523,,
Geothermal energy,How do we use energy from heat deep inside the Earth?,68830_RE_05_02.html,80e72ca87645491f90ceb0140d0e4b22,EnvironmentalScience,efe2cb80-a569-4a1c-8ac9-a720a2f3577a,442caf5b-a7ac-4b4c-b491-215e7797ee0d,b80e72ca87645491f90ceb0140d0e4b22,,
How a hydrogen fuel cell works,How do fuels cells work?,68830_RE_06_03.html,6feedd3398554a4b9835119457d787f6,EnvironmentalScience,d7d74056-5f1f-4589-81d7-95dfbf8b872c,07b24561-70c5-4cbd-a007-c544c7895d61,b6feedd3398554a4b9835119457d787f6,,
New developments in fuel cell technology,What is the future of hydrogen combustion and fuel cells?,68830_RE_06_04.html,612844c463ab4bccb7a9a2e704f618b4,EnvironmentalScience,6d3732f8-8315-4a2a-ba13-57e0cc0846e4,dbc24a02-b66f-40a4-94d9-3dd15e569d12,b612844c463ab4bccb7a9a2e704f618b4,,
Barriers to changing energy production and use,What are the barriers to changing energy production and use?,68830_RE_07_02.html,af139a084654428e8b882f663becc92b,EnvironmentalScience,dad9258c-8b36-4214-a9d1-e1a3e468d173,f1804333-0625-453d-a7e3-ebb4c42a04a5,baf139a084654428e8b882f663becc92b,,
Examples of renewable energy development,What type of energy will we be using in the year 2030 and beyond?,68830_RE_07_03.html,2c9d0a8c2de14d7493bc6bffeb5e6ea7,EnvironmentalScience,cf96a290-4fc7-45aa-9d22-ed911a389cab,ee360502-8196-49da-a189-78d33cf2f5fa,b2c9d0a8c2de14d7493bc6bffeb5e6ea7,,
